frame,track_id,x,y,w,h,score,verified_score,tube_verifier_score,misses,vx,vy,cand_is_current,cand_frame,cand_source,cand_area,cand_fill,cand_aspect,cand_mean_residual,cand_mean_appearance,cand_local_contrast,cand_texture,cand_line_context,cand_isolation,cand_score,cand_local_flow_score,cand_local_flow_delta_px,cand_local_flow_bg_sigma,cand_local_flow_inside_n,cand_local_flow_annulus_n,cand_local_bg_residual,cand_local_residual_ratio,cand_local_comp_score,cand_map_score,cand_attached_support,cand_native_dark_score,cand_sky_like,cand_router_state,cand_router_confidence,cand_router_close_sky_like,cand_router_close_texture,cand_router_far_sky_like,cand_router_far_texture,tube_tube_hits,tube_tube_len,tube_hit_rate,tube_miss_rate,tube_mean_score,tube_score_std,tube_mean_map_score,tube_map_hit_rate,tube_appearance_only_rate,tube_surface_source_rate,tube_router_surface_backed_rate,tube_router_clean_sky_rate,tube_router_boundary_rate,tube_router_line_attached_rate,tube_router_unknown_rate,tube_tiny_rate,tube_mean_line_context,tube_max_line_context,tube_mean_attached_support,tube_max_attached_support,tube_mean_native_dark_score,tube_max_native_dark_score,tube_mean_sky_like,tube_max_sky_like,tube_sky_hit_rate,tube_mean_texture,tube_mean_residual,tube_mean_appearance,tube_mean_area,tube_mean_pair_score,tube_positive_pair_rate,tube_mean_pair_raw,tube_positive_pair_raw_rate,tube_mean_pair_bg,tube_positive_pair_bg_rate,tube_mean_pair_bg_local,tube_positive_pair_bg_local_rate,tube_mean_align_gain,tube_positive_align_rate,tube_mean_bg_dist,tube_mean_cv_resid,tube_mean_bg_minus_cv,tube_mean_cand_density,tube_log_cand_density,tube_mean_speed,tube_max_speed,tube_mean_accel,tube_max_accel
43,768,73,88,12,12,16.474233,19.405568,2.931334,0,0.248973,-0.140863,1,43,map,144,1.0,1.0,8.74,25.47,50.99,75.93,0.446,0.0,4.744,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.86,2.762,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.666667,0.333333,4.549667,0.438978,3.673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.485167,0.522,2.9615,3.161,0.0,0.0,0.0,0.0,0.0,78.251667,9.021667,24.62,144.0,-0.105929,0.111111,-0.105929,0.111111,0.0,0.0,0.0,0.0,0.0,0.0,0.915849,1.140061,-0.224212,30.333333,3.444682,1.111095,2.0,1.140061,2.267702
45,768,74,89,12,12,20.017483,22.55637,2.538887,0,0.516441,0.106735,1,45,map,144,1.0,1.0,9.88,25.92,53.5,77.59,0.459,0.0,4.591,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.668,2.616,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.777778,0.222222,4.332714,0.765637,3.188,0.857143,0.142857,0.0,0.0,0.0,0.0,0.0,1.0,0.142857,0.499,0.633,2.967286,3.547,0.0,0.0,0.0,0.0,0.0,84.317143,7.892857,30.815714,124.714286,-0.069648,0.111111,-0.069648,0.111111,0.0,0.0,0.0,0.0,0.0,0.0,1.110078,1.286053,-0.175974,30.777778,3.458767,1.254452,2.0,1.286053,2.219137
46,768,75,89,12,12,15.9759,18.401669,2.425769,1,0.516441,0.106735,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,0.666667,0.333333,4.420667,0.793568,3.233833,0.833333,0.166667,0.0,0.0,0.0,0.0,0.0,1.0,0.166667,0.495167,0.633,2.955167,3.547,0.0,0.0,0.0,0.0,0.0,84.896667,7.755,32.193333,121.5,-0.040925,0.111111,-0.040925,0.111111,0.0,0.0,0.0,0.0,0.0,0.0,0.952943,1.122274,-0.169331,26.333333,3.308107,1.155912,2.0,1.122274,2.219137
47,768,74,88,12,12,16.381893,18.784314,2.40242,0,-0.014313,-0.280622,1,47,map,144,1.0,1.0,9.09,25.13,49.66,73.97,0.413,0.0,4.837,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.958,2.644,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.666667,0.333333,4.493167,0.808285,3.3115,0.833333,0.166667,0.0,0.0,0.0,0.0,0.0,1.0,0.166667,0.485667,0.633,2.883333,3.547,0.0,0.0,0.0,0.0,0.0,84.366667,7.628333,32.261667,121.5,-0.063979,0.0,-0.063979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887856,1.084298,-0.196442,26.333333,3.308107,1.090825,1.581139,1.084298,1.877354
48,768,75,89,12,12,21.10099,23.677149,2.576159,0,0.340696,0.167596,1,48,map,144,1.0,1.0,8.27,25.01,52.32,75.64,0.442,0.0,4.074,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.132,2.494,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.777778,0.222222,4.433286,0.762566,3.285857,0.857143,0.142857,0.0,0.0,0.0,0.0,0.0,1.0,0.142857,0.479429,0.633,2.827714,3.547,0.0,0.0,0.0,0.0,0.0,83.12,7.72,31.225714,124.714286,-0.048106,0.0,-0.048106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.044991,1.265815,-0.220824,30.888889,3.462258,1.16924,1.581139,1.265815,1.877354
49,768,79,92,3,3,18.581103,20.582828,2.001725,0,0.046453,-0.416063,1,49,appearance,9,1.0,1.0,0.0,65.78,76.87,113.24,0.744,0.0,2.67,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.173,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.777778,0.222222,4.092143,0.923875,2.682571,0.714286,0.285714,0.0,0.0,0.0,0.0,0.0,1.0,0.285714,0.517571,0.744,2.714429,3.547,0.0,0.0,0.0,0.0,0.0,88.245714,6.438571,37.034286,105.428571,-0.015222,0.0,-0.015222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.063538,1.281628,-0.21809,27.0,3.332205,1.187787,1.581139,1.281628,1.877354
50,768,73,89,12,12,23.420426,25.701972,2.281546,0,-0.494806,0.254559,1,50,map,144,1.0,1.0,8.9,25.67,54.02,74.65,0.432,0.0,4.665,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.761,2.62,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.888889,0.111111,4.16375,0.884728,2.817375,0.75,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.506875,0.744,2.702625,3.547,0.0,0.0,0.0,0.0,0.0,86.54625,6.74625,35.61375,110.25,-0.003752,0.0,-0.003752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29924,1.555215,-0.255974,30.777778,3.458767,1.357835,2.12132,1.555215,2.462278
51,768,79,91,3,4,19.929495,21.599873,1.670377,0,0.203376,-0.534537,1,51,appearance,12,1.0,1.333,0.0,68.08,85.36,108.21,0.71,0.0,2.727,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.195,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.888889,0.111111,3.8785,0.932793,2.297375,0.625,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.534875,0.744,2.631375,3.547,0.0,0.0,0.0,0.0,0.0,90.16,5.61,40.9375,93.75,0.002673,0.0,0.002673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.465907,1.756548,-0.290641,26.777778,3.324236,1.524502,2.5,1.756548,3.010363
52,768,74,89,12,12,18.91132,20.615088,1.703768,0,-0.042805,0.352551,1,52,map,144,1.0,1.0,9.59,25.64,52.97,74.43,0.44,0.0,4.707,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.803,2.479,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.888889,0.111111,3.873875,0.928572,2.29025,0.625,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.534125,0.744,2.596,3.547,0.0,0.0,0.0,0.0,0.0,89.9725,5.71625,40.95875,93.75,-0.038038,0.0,-0.038038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.583857,1.895903,-0.312046,27.666667,3.355735,1.642452,2.5,1.895903,3.010363
53,768,76,88,12,12,21.071995,23.609966,2.537971,0,0.672176,-0.120842,1,53,map,144,1.0,1.0,9.31,24.31,44.53,71.95,0.4,0.0,4.344,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.426,2.454,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.888889,0.111111,4.076875,0.825976,2.7185,0.75,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.505,0.744,2.459375,2.644,0.0,0.0,0.0,0.0,0.0,83.71,6.88,35.6925,110.625,-0.00289,0.111111,-0.00289,0.111111,0.0,0.0,0.0,0.0,0.0,0.0,1.656627,1.967712,-0.311084,32.888889,3.523087,1.715222,2.5,1.967712,3.010363
